nome,telefone,ddd,estado,cidade,rua,numero,complemento,bairro,cep,tipo_pecas,especializacao
Auto Jafet,94736-1499,11,SP,São Paulo,,,,,,all,all
Jota Auto Peças,96618-1588,11,SP,São Paulo,,,,,,all,all
João Baptista,97121-6199,19,SP,São Paulo,,,,,,all,all
Sem nome,2660-2860,19,SP,São Paulo,,,,,,all,all
Antonio Lascasas,98435-2515,41,PR,Curitiba,,,,,,all,all
Lucas - MotorJan Peças,98409-1553,41,PR,Curitiba,,,,,,all,all
Mercado Das Peças,99984-8222,41,PR,Curitiba,,,,,,all,all
MERCADO DAS PECAS COLOMBO,99960-8222,41,PR,Curitiba,,,,,,all,all
Painel Auto Peças,99668-2612,41,PR,Curitiba,,,,,,all,all
Sem nome,3268-4000,41,PR,Curitiba,,,,,,all,all
😎,99684-5545,47,SC,Joinville,,,,,,all,all
ademilsonalves731,99191-1364,47,SC,Joinville,,,,,,all,all
Eduardo Henrique,99635-9573,47,SC,Joinville,,,,,,all,all
Elite Auto Pecas,99684-4433,47,SC,Joinville,,,,,,all,all
FERRO VELHO CARDOSO,99127-4119,47,SC,Joinville,,,,,,all,all
Mega Auto Peças,99659-7921,47,SC,Joinville,,,,,,all,all
Paulo Vinicius,99952-6675,47,SC,Joinville,,,,,,all,all
Sem nome,98812-3987,47,SC,Joinville,,,,,,all,all
Sem nome,99632-6726,47,SC,Joinville,,,,,,all,all
Sem nome,99928-3630,47,SC,Joinville,,,,,,all,all
Thiago,99665-2863,47,SC,Joinville,,,,,,all,all
Adam,98441-0151,48,SC,Florianopolis,,,,,,all,all
Alex,98470-2630,48,SC,Florianopolis,,,,,,all,all
Benedet Auto Peças,99659-5468,48,SC,Florianopolis,,,,,,all,all
Federal Auto Peças,98492-5349,48,SC,Florianopolis,,,,,,all,all
João - Insular Auto Peças,99114-4959,48,SC,Florianopolis,,,,,,all,all
João Furtado Silva,99156-7696,48,SC,Florianopolis,,,,,,all,all
Léo Zandavalli,99624-1085,48,SC,Florianopolis,,,,,,all,all
Leonardo,98874-1634,48,SC,Florianopolis,,,,,,all,all
Macedo Auto Peças,99860-6122,48,SC,Florianopolis,,,,,,all,all
Patriota A.Peças-Rodrigo,99663-1055,48,SC,Florianopolis,,,,,,all,all
Ph Auto Pecas,99194-4100,48,SC,Florianopolis,,,,,,all,all
Pinheiro - Insular Auto Peças,98494-2539,48,SC,Florianopolis,,,,,,all,all
Sem nome,3033-7187,48,SC,Florianopolis,,,,,,all,all
Sem nome,3035-7501,48,SC,Florianopolis,,,,,,all,all
Sem nome,3205-7127,48,SC,Florianopolis,,,,,,all,all
Sem nome,3248-1403,48,SC,Florianopolis,,,,,,all,all
Sem nome,3271-2124,48,SC,Florianopolis,,,,,,all,all
Sem nome,3522-1159,48,SC,Florianopolis,,,,,,all,all
Sem nome,9654-9440,48,SC,Florianopolis,,,,,,all,all
Sem nome,98431-4002,48,SC,Florianopolis,,,,,,all,all
Sem nome,98479-2283,48,SC,Florianopolis,,,,,,all,all
Sem nome,99841-6421,48,SC,Florianopolis,,,,,,all,all
Sem nome,99907-0974,48,SC,Florianopolis,,,,,,all,all
Vieira Auto peça,98419-3673,48,SC,Florianopolis,,,,,,all,all
Sem nome,99132-0199,49,SC,Chapeco,,,,,,all,all
Leandro Ribeiro-ALIANÇA AUTO PEÇAS,99235-0031,62,GO,Goiania,,,,,,all,all
